carat,cut,color,clarity,price,len,wid,dep
0.3,Fair,D,IF,1208,4.47,4.35,2.67
0.33,Ideal,E,SI1,579,4.43,4.46,2.75
1.2,Ideal,F,VS1,9596,6.89,6.85,4.17
0.5,Very Good,H,VS1,1429,5.01,5.04,3.14
0.41,Ideal,E,SI1,969,4.77,4.74,2.98
0.32,Ideal,E,VS2,769,4.39,4.42,2.68
0.8,Ideal,E,SI2,2939,6.02,6.01,3.66
0.38,Ideal,E,IF,1402,4.68,4.74,2.89
1.01,Premium,J,I1,2602,6.42,6.39,3.89
1.01,Premium,G,VVS2,6470,6.45,6.41,3.98
2.02,Premium,E,SI2,17938,8.32,8.25,4.82
0.41,Ideal,F,VS1,1007,4.75,4.79,2.95
1.14,Premium,H,VS2,5986,6.74,6.81,4.08
0.4,Very Good,F,SI1,687,4.65,4.69,2.9
1.22,Premium,H,SI1,6354,6.89,6.84,4.25
1.02,Premium,F,SI2,4459,6.41,6.45,3.93
1.21,Premium,F,SI2,6092,6.99,6.94,4.11
0.35,Ideal,F,VS2,906,4.52,4.49,2.82
0.8,Premium,H,VS1,2935,5.92,5.86,3.65
0.9,Very Good,G,VS2,4210,6.13,6.17,3.84
1.33,Ideal,G,VS1,10732,7.16,7.21,4.3
0.32,Ideal,G,VS1,828,4.41,4.38,2.73
2.24,Ideal,I,SI2,15852,8.31,8.4,5.19
1.67,Premium,H,SI2,8118,7.57,7.52,4.72
0.32,Ideal,G,VVS2,936,4.43,4.41,2.68
0.91,Premium,D,SI2,4051,6.23,6.19,3.86
0.5,Premium,F,VS2,1654,5.1,5.06,3.14
1.59,Ideal,H,VS2,11437,7.56,7.5,4.57
2.3,Premium,J,SI1,12499,8.61,8.56,5.12
1.01,Very Good,F,VS2,6416,6.33,6.41,4
0.72,Very Good,H,SI2,1799,5.66,5.62,3.58
1.51,Very Good,J,SI2,6546,7.26,7.31,4.51
1.51,Ideal,G,VS2,13752,7.39,7.46,4.52
0.33,Premium,G,VVS1,868,4.46,4.5,2.73
0.71,Very Good,G,SI1,2266,5.66,5.71,3.48
1.13,Ideal,D,SI1,7066,6.69,6.74,4.12
0.56,Ideal,E,SI1,1698,5.27,5.23,3.29
0.41,Ideal,E,VS1,1153,4.8,4.76,2.95
0.52,Very Good,G,SI2,1049,5.12,5.14,3.23
0.26,Very Good,E,VVS2,597,4.07,4.11,2.56
0.3,Ideal,D,VS2,911,4.32,4.29,2.69
0.4,Ideal,D,VVS2,1263,4.71,4.74,2.93
1.22,Premium,I,SI2,4831,6.8,6.85,4.25
0.55,Very Good,E,VVS1,2585,5.27,5.29,3.23
0.31,Very Good,I,VS2,558,4.4,4.3,2.75
0.36,Ideal,D,SI2,689,4.6,4.56,2.84
0.51,Ideal,D,SI2,1383,5.18,5.2,3.16
1.51,Very Good,G,SI2,8637,7.36,7.4,4.46
0.34,Ideal,D,I1,530,4.49,4.47,2.8
1.02,Premium,F,SI1,4855,6.65,6.57,3.86
1.09,Ideal,G,VVS2,8970,6.62,6.65,4.08
0.57,Good,D,SI2,1262,5.24,5.26,3.35
0.57,Ideal,E,SI2,1244,5.34,5.36,3.32
0.37,Very Good,F,SI2,487,4.6,4.7,2.8
1.11,Premium,G,VS2,6713,6.7,6.65,4.06
0.51,Ideal,E,VVS2,2209,5.11,5.14,3.16
0.25,Premium,G,SI2,1186,5.33,5.28,3.12
0.31,Ideal,G,VS1,625,4.39,4.43,2.69
0.56,Very Good,J,SI1,957,5.3,5.34,3.21
0.55,Very Good,E,SI1,1559,5.31,5.41,3.2
0.28,Very Good,E,VVS1,646,4.17,4.21,2.56
1.01,Fair,E,SI2,3916,6.51,6.55,3.78
1,Fair,H,VS1,4368,6.22,6.17,4.05
0.71,Very Good,H,SI1,2266,5.73,5.76,3.49
1.29,Ideal,G,VS2,7080,6.91,6.89,4.34
0.7,Ideal,J,SI2,1826,5.68,5.65,3.49
1.22,Ideal,F,VVS1,13539,6.88,6.9,4.27
0.4,Good,D,SI2,622,4.7,4.73,3.01
1.52,Ideal,I,VVS1,10968,7.34,7.37,4.55
0.59,Very Good,E,VS2,1857,5.36,5.4,3.32
0.38,Ideal,E,IF,1402,4.64,4.67,2.89
0.95,Very Good,H,SI2,3335,6.38,6.51,3.77
1.02,Very Good,E,SI2,4286,6.61,6.55,3.86
0.52,Very Good,G,SI1,1161,5.17,5.19,3.14
1.5,Premium,F,VS2,13506,7.37,7.33,4.56
0.41,Good,F,VVS2,1064,4.72,4.68,2.99
0.7,Ideal,J,SI2,1832,5.72,5.76,3.49
0.51,Ideal,G,VVS2,1844,5.09,5.12,3.17
0.74,Premium,E,SI2,2002,5.79,5.77,3.59
0.81,Very Good,F,SI1,2858,6.02,6.05,3.7
0.41,Ideal,G,VS1,961,4.86,4.81,2.89
0.35,Ideal,H,VVS1,1024,4.55,4.53,2.8
1.03,Ideal,H,SI1,5063,6.53,6.47,4.03
1.01,Ideal,E,VS2,7355,6.41,6.45,3.99
1.01,Good,F,SI2,3897,6.32,6.25,4.04
1.09,Premium,G,VS2,5098,6.6,6.55,4.08
0.55,Very Good,F,VS2,1625,5.23,5.27,3.28
0.24,Very Good,H,VVS1,449,4.01,4.04,2.46
1.02,Very Good,G,VS2,6432,6.47,6.51,3.95
1.01,Premium,F,SI2,4317,6.59,6.52,3.91
0.55,Ideal,F,SI2,1313,5.25,5.33,3.24
1.21,Very Good,H,SI1,4944,6.73,6.63,4.24
0.32,Ideal,F,VVS1,926,4.35,4.38,2.72
1.01,Ideal,D,SI2,4242,6.42,6.38,3.97
2.06,Ideal,I,SI2,10728,8.22,8.18,5.03
0.6,Very Good,E,SI1,1836,5.38,5.32,3.38
0.4,Premium,G,VS1,877,4.76,4.8,2.88
1.24,Ideal,H,VS1,7222,6.87,6.82,4.31
0.39,Premium,G,SI2,746,4.71,4.64,2.93
1.04,Very Good,D,VS2,7679,6.44,6.53,4.09
1.1,Premium,G,VS2,6032,6.73,6.68,4.04
1.52,Ideal,I,SI2,7990,7.29,7.33,4.57
0.5,Good,E,SI2,1077,5.05,5.09,3.21
1.11,Ideal,F,SI1,6512,6.67,6.69,4.08
2,Very Good,G,SI1,18818,7.9,7.97,5.04
2,Very Good,J,VS2,13043,8.09,8.12,4.93
1,Ideal,F,SI1,5197,6.37,6.43,3.97
1.05,Ideal,G,VS1,7523,6.54,6.59,4.01
0.31,Premium,F,VS2,802,4.42,4.39,2.63
1.03,Premium,F,SI1,4942,6.45,6.41,4
1.21,Premium,E,SI2,6065,7.07,6.91,4.11
0.31,Good,I,SI1,377,4.27,4.29,2.75
0.9,Premium,D,SI1,4427,6.19,6.17,3.8
1.52,Premium,G,VS1,13034,7.37,7.3,4.58
0.35,Ideal,G,IF,1001,4.54,4.56,2.82
0.53,Premium,H,SI1,1242,5.26,5.24,3.12
0.46,Ideal,G,SI2,807,4.97,5.01,3.05
0.35,Ideal,F,VS2,706,4.5,4.51,2.81
0.25,Ideal,F,VS1,436,4.07,4.09,2.52
1.52,Very Good,I,SI2,7866,7.41,7.47,4.45
0.31,Good,E,SI1,544,4.28,4.32,2.73
0.78,Ideal,G,SI1,2496,5.94,5.99,3.64
0.41,Ideal,I,VVS2,827,4.77,4.8,2.95
0.26,Ideal,E,VVS1,635,4.09,4.11,2.53
0.34,Premium,E,SI2,612,4.46,4.42,2.77
0.26,Good,F,VS1,373,4.06,4.1,2.55
0.74,Premium,E,VS2,3285,5.72,5.77,3.6
0.72,Fair,F,SI1,2691,5.64,5.6,3.64
0.3,Premium,E,VS1,911,4.33,4.28,2.64
0.9,Very Good,I,VS1,3447,6.14,6.17,3.85
1.31,Ideal,G,VS2,8922,7.05,7.08,4.37
0.64,Very Good,D,VS2,2332,5.7,5.74,3.35
0.28,Ideal,H,IF,586,4.2,4.23,2.61
1.05,Premium,G,SI1,4974,6.64,6.59,3.99
0.33,Very Good,G,SI1,492,4.42,4.45,2.73
0.37,Ideal,G,IF,1056,4.6,4.64,2.87
0.83,Premium,H,SI1,2825,6.08,6.05,3.64
1,Good,G,VS1,6465,6.34,6.3,4.02
0.25,Very Good,E,VVS2,575,4.03,4.11,2.48
0.5,Ideal,H,SI1,1160,5.17,5.2,3.07
0.3,Very Good,G,VVS1,1013,4.28,4.25,2.69
1.57,Premium,I,VVS2,11146,7.54,7.51,4.57
0.29,Very Good,F,VVS2,592,4.28,4.31,2.61
1.01,Ideal,G,VS2,6108,6.43,6.39,4.02
0.31,Ideal,F,IF,901,4.38,4.41,2.69
2.06,Very Good,G,SI2,15938,8.3,8.38,4.92
2.09,Premium,H,SI2,13119,8.23,8.2,5
1.51,Very Good,H,VS2,12108,7.28,7.33,4.56
1.71,Good,J,VS2,8831,7.48,7.55,4.72
0.55,Ideal,E,VS1,1975,5.3,5.33,3.25
0.61,Premium,D,VS1,2306,5.46,5.4,3.34
0.47,Ideal,D,VS1,1617,5.03,5.01,3.06
1.02,Ideal,E,IF,11500,6.41,6.47,4.03
0.9,Very Good,F,VS2,4493,6.17,6.21,3.82
0.53,Ideal,G,VS1,1607,5.18,5.22,3.21
0.3,Ideal,H,VVS2,631,4.32,4.35,2.67
1.5,Premium,F,VS1,15291,7.33,7.28,4.55
1.25,Premium,H,SI2,4200,6.97,6.91,4.2
0.7,Very Good,D,VVS2,4022,5.65,5.69,3.56
1.07,Ideal,G,VS1,7069,6.55,6.59,4.06
0.55,Premium,E,VS2,2030,5.3,5.28,3.23
0.43,Very Good,D,SI2,858,4.81,4.8,3.03
0.7,Premium,F,VS2,2648,5.68,5.64,3.52
0.24,Very Good,D,VVS2,552,3.94,4.01,2.48
1.01,Good,D,SI1,5055,6.25,6.31,4.01
1.19,Very Good,H,SI1,5595,6.66,6.73,4.2
0.3,Premium,E,VVS2,789,4.26,4.29,2.64
1.01,Premium,F,SI2,4416,6.4,6.43,3.93
0.32,Ideal,G,SI1,647,4.39,4.43,2.73
0.62,Very Good,H,IF,2367,5.52,5.55,3.34
0.9,Good,F,VVS1,6124,6.07,6.02,3.88
0.7,Ideal,G,SI1,2352,5.72,5.69,3.55
2.29,Premium,J,IF,18426,8.45,8.49,5.2
0.3,Ideal,E,VVS1,763,4.29,4.32,2.69
1,Fair,J,SI1,3427,6.29,6.23,4.06
0.7,Very Good,D,SI1,2242,5.57,5.61,3.58
0.31,Premium,H,VVS2,625,4.32,4.35,2.66
0.3,Very Good,I,VS1,473,4.26,4.29,2.69
0.5,Good,E,SI1,1293,5.04,5.07,3.16
0.33,Ideal,F,VS2,666,4.47,4.49,2.74
1.25,Premium,H,VS2,7378,6.96,6.92,4.19
1.01,Ideal,F,VVS2,9463,6.36,6.4,4.02
1.2,Very Good,F,VS2,8454,6.75,6.8,4.26
0.61,Ideal,H,VS2,1591,5.47,5.49,3.4
0.35,Premium,F,VS2,879,4.58,4.55,2.78
1,Very Good,G,SI1,4218,6.56,6.58,3.85
1.03,Premium,H,SI2,4078,6.48,6.54,3.95
0.52,Good,D,VS2,1701,5.08,5.13,3.24
1.07,Ideal,I,VS2,4319,6.66,6.6,4.05
0.33,Ideal,E,SI1,702,4.47,4.49,2.76
0.35,Premium,H,SI1,504,4.47,4.54,2.81
0.35,Very Good,G,IF,1044,4.45,4.52,2.79
0.41,Ideal,H,VS1,827,4.73,4.77,2.98
1.28,Very Good,E,SI1,7927,6.99,7.05,4.21
0.7,Very Good,E,VS2,2843,5.65,5.67,3.55
0.36,Ideal,E,VS1,852,4.56,4.6,2.83
0.45,Ideal,D,VS1,1330,4.88,4.91,3.05
1.21,Premium,J,VS2,4268,6.83,6.79,4.25
0.3,Premium,H,VS1,675,4.29,4.23,2.65
2,Fair,H,VS1,14199,7.79,7.72,5.12
1,Fair,J,SI1,3780,6.35,6.3,4.09
1.16,Premium,F,VS2,5781,6.86,6.8,4.13
0.42,Very Good,D,SI1,723,4.85,4.89,2.93
1.13,Premium,D,SI2,5280,6.64,6.68,4.13
0.32,Ideal,F,VVS2,739,4.42,4.44,2.75
1.1,Premium,I,SI1,4805,6.6,6.55,4.12
0.8,Ideal,H,SI1,2553,5.97,5.95,3.72
0.5,Good,D,SI1,1333,5,5.03,3.2
1.01,Premium,D,SI2,5206,6.57,6.54,3.89
0.55,Premium,E,VS2,1928,5.28,5.3,3.23
1.13,Premium,H,SI2,4873,6.82,6.72,4.11
0.32,Good,D,SI1,589,4.37,4.38,2.76
0.56,Ideal,D,SI1,1723,5.31,5.34,3.27
1.25,Very Good,H,VS2,7525,6.87,6.82,4.33
0.4,Premium,H,VS1,1021,4.79,4.74,2.92
0.9,Fair,D,SI1,3689,6.1,6.03,3.93
0.3,Ideal,F,VS2,573,4.3,4.34,2.69
1.51,Very Good,H,VS1,11161,7.27,7.32,4.51
1.14,Ideal,G,VS2,7371,6.68,6.77,4.17
0.3,Ideal,G,IF,863,4.32,4.34,2.69
0.33,Premium,D,SI1,780,4.44,4.41,2.72
0.76,Ideal,H,VVS2,2690,5.84,5.91,3.63
0.52,Ideal,F,SI1,1337,5.31,5.29,3.2
0.4,Good,G,VVS1,1013,4.86,4.88,2.88
0.72,Ideal,H,VVS1,2958,5.74,5.77,3.57
0.38,Ideal,I,VVS1,791,4.68,4.71,2.89
1,Premium,D,SI2,4626,6.36,6.3,3.94
1.07,Very Good,E,VS1,7768,6.49,6.58,4.05
0.51,Very Good,D,VVS2,2289,5.1,5.07,3.21
0.32,Good,E,SI1,561,4.35,4.38,2.76
0.7,Very Good,F,VVS2,2932,5.66,5.6,3.56
0.32,Ideal,E,VVS1,1020,4.45,4.42,2.7
1.01,Ideal,H,SI1,5664,6.44,6.46,3.95
0.35,Ideal,F,VS1,665,4.49,4.52,2.81
1.21,Premium,J,VVS1,5893,6.81,6.86,4.19
0.51,Very Good,G,SI1,1237,5.2,5.22,3.2
1.56,Ideal,E,VS2,12717,7.56,7.5,4.56
0.7,Ideal,E,VS2,2979,5.74,5.71,3.53
1.93,Very Good,I,SI1,13278,7.89,7.97,4.98
0.5,Very Good,D,VS1,1750,5.09,5.11,3.16
2.04,Ideal,G,SI1,18153,8.12,8.16,5.04
0.38,Ideal,G,VS1,1069,4.71,4.66,2.85
0.37,Premium,E,VS2,1041,4.63,4.59,2.81
0.58,Ideal,F,VS1,1979,5.42,5.47,3.26
1.21,Premium,G,VS1,8456,6.79,6.74,4.24
2.07,Fair,D,SI2,13016,7.99,7.88,5.12
0.3,Very Good,G,VS1,776,4.27,4.25,2.69
0.24,Premium,E,VS2,536,4.03,3.99,2.51
1.12,Premium,H,SI1,5363,6.65,6.59,4.12
1.05,Very Good,I,SI1,4688,6.49,6.45,4.05
0.31,Very Good,G,VS1,625,4.3,4.35,2.72
1.12,Premium,I,SI1,4373,6.66,6.69,4.08
0.52,Ideal,I,VVS2,1316,5.18,5.11,3.2
1.01,Good,D,VVS2,8943,6.32,6.35,4.02
1.01,Very Good,F,VS2,6267,6.41,6.37,4.03
0.9,Very Good,E,SI1,3508,6.22,6.12,3.92
0.71,Good,I,VVS1,2549,5.67,5.71,3.61
1.71,Good,H,VS2,13068,7.57,7.54,4.81
1.07,Premium,G,SI2,4278,6.7,6.65,3.99
1.05,Ideal,H,SI1,5200,6.52,6.58,4
1.01,Very Good,H,SI1,4873,6.31,6.37,4.03
0.35,Premium,H,VS1,788,4.57,4.54,2.79
0.32,Premium,I,SI1,540,4.4,4.36,2.7
2.14,Premium,D,SI2,17127,8.4,8.36,5.01
0.32,Ideal,G,VS2,720,4.42,4.38,2.72
0.55,Ideal,F,VS1,2079,5.33,5.28,3.25
0.7,Fair,F,I1,992,5.54,5.49,3.67
1.21,Good,E,VS1,8902,6.73,6.78,4.17
1.06,Ideal,F,I1,3544,6.55,6.58,4.06
0.3,Very Good,G,VS1,605,4.24,4.28,2.65
0.31,Ideal,D,VS2,734,4.31,4.34,2.69
2.07,Premium,H,SI1,13786,8.17,8.09,5.04
1.6,Premium,J,VS1,7903,7.51,7.4,4.66
0.61,Premium,G,SI1,1255,5.42,5.42,3.31
0.7,Very Good,F,VS2,2362,5.62,5.69,3.54
0.35,Premium,G,SI1,669,4.6,4.58,2.78
0.52,Premium,F,VS2,1720,5.17,5.12,3.2
1.01,Very Good,F,VVS2,8922,6.38,6.42,3.99
0.3,Premium,F,SI1,641,4.28,4.26,2.65
1.24,Very Good,H,SI1,6625,6.93,6.82,4.29
0.56,Ideal,I,VVS1,1616,5.33,5.37,3.29
0.55,Very Good,E,VVS2,2499,5.33,5.36,3.24
1.01,Premium,D,SI1,6176,6.4,6.37,3.96
2.06,Ideal,F,SI2,15970,8.19,8.09,5.1
0.42,Very Good,G,SI1,737,4.8,4.83,3.01
1.22,Premium,E,SI2,4974,6.89,6.83,4.26
0.35,Premium,E,VS1,921,4.5,4.47,2.79
0.51,Very Good,D,VS2,1633,5.04,5.06,3.19
0.38,Ideal,E,VS1,866,4.63,4.67,2.89
0.75,Ideal,E,VS2,3120,5.82,5.85,3.62
0.5,Ideal,G,VS2,1449,5.1,5.12,3.11
0.41,Ideal,F,SI1,705,4.78,4.8,2.95
0.75,Very Good,F,VS1,3129,5.78,5.74,3.64
1.23,Ideal,G,VS2,8085,6.83,6.88,4.28
0.37,Ideal,G,VS2,671,4.63,4.65,2.85
0.31,Ideal,G,VS1,625,4.33,4.36,2.7
2.02,Good,I,VS2,16789,8.25,8.3,4.79
1.01,Ideal,H,SI1,4836,6.43,6.39,4.01
0.31,Very Good,G,VVS2,707,4.28,4.3,2.7
0.31,Premium,H,VVS2,802,4.37,4.32,2.67
1.01,Premium,G,VS2,5864,6.46,6.42,3.91
1.05,Premium,G,SI2,4241,6.55,6.6,4.03
0.32,Ideal,G,VVS1,842,4.37,4.44,2.68
0.32,Ideal,F,IF,943,4.4,4.44,2.75
0.74,Premium,E,SI2,2553,5.98,5.94,3.52
0.4,Ideal,H,VVS1,1088,4.81,4.74,2.93
2.2,Premium,I,SI2,13719,8.45,8.4,5.2
0.26,Very Good,D,VVS2,554,4.01,4.05,2.53
0.4,Very Good,D,VVS2,1133,4.78,4.82,2.92
0.57,Ideal,F,VVS1,2682,5.27,5.32,3.31
1.61,Good,H,SI2,9005,7.35,7.38,4.7
0.51,Ideal,F,VS1,2085,5.17,5.2,3.16
1.01,Very Good,D,SI2,4588,6.51,6.56,3.94
0.34,Ideal,E,SI1,765,4.51,4.48,2.74
1.5,Ideal,J,VS2,7503,7.45,7.36,4.44
1.51,Ideal,E,VS2,14482,7.31,7.26,4.57
0.63,Ideal,I,VVS1,2064,5.44,5.49,3.43
0.72,Ideal,F,IF,4228,5.71,5.78,3.56
1.07,Ideal,G,SI2,4421,6.55,6.59,4.05
1.04,Ideal,J,SI2,3762,6.55,6.6,3.97
0.4,Ideal,F,VS1,982,4.73,4.76,2.91
0.32,Premium,G,VS2,720,4.36,4.33,2.72
0.92,Very Good,E,SI1,4562,6.15,6.22,3.84
2.01,Good,H,SI1,15919,7.93,7.98,5.03
1.5,Very Good,E,VS2,14592,7.44,7.48,4.44
0.3,Ideal,F,VS2,605,4.31,4.32,2.67
1.01,Very Good,E,VS2,6399,6.51,6.58,3.8
2,Fair,D,SI1,15540,7.98,7.89,5.14
0.57,Ideal,E,VS2,1949,5.29,5.26,3.32
1.64,Ideal,F,SI2,10733,7.55,7.59,4.65
0.33,Good,I,SI1,557,4.43,4.4,2.81
0.42,Good,D,SI1,735,4.73,4.75,3
1.27,Very Good,G,VS2,8549,6.97,7.09,4.24
0.42,Very Good,F,SI1,926,4.79,4.75,3.02
1.5,Premium,G,SI1,10087,7.28,7.23,4.55
1.31,Good,H,SI2,5429,6.9,6.84,4.41
0.31,Ideal,H,SI1,464,4.36,4.39,2.68
0.71,Ideal,F,VS1,3710,5.71,5.77,3.53
0.72,Fair,G,VS2,2306,5.66,5.71,3.67
0.3,Ideal,I,VS1,491,4.3,4.33,2.65
0.4,Ideal,D,VVS1,1279,4.65,4.68,2.93
0.75,Ideal,F,SI2,2393,5.86,5.81,3.65
1.01,Good,D,SI1,5443,6.35,6.37,3.93
0.5,Premium,D,VS2,1614,5.09,5.04,3.11
0.75,Very Good,F,VS1,3220,5.83,5.87,3.56
1,Ideal,F,VS2,6804,6.4,6.35,3.99
0.3,Premium,G,VVS2,684,4.32,4.34,2.65
0.31,Ideal,E,VVS2,1046,4.43,4.39,2.69
0.32,Ideal,G,VVS2,698,4.39,4.43,2.7
0.71,Ideal,H,VS2,2559,5.73,5.77,3.55
0.73,Very Good,F,VS2,2503,5.9,5.81,3.45
1,Very Good,F,SI1,4704,6.37,6.33,4.01
2.08,Premium,H,SI2,12454,8.38,8.29,4.98
1.04,Good,D,SI1,5708,6.43,6.39,4.08
0.34,Ideal,H,SI1,628,4.58,4.52,2.76
0.27,Ideal,G,VS2,490,4.17,4.2,2.58
0.47,Ideal,D,VS2,1319,4.99,5.03,3.1
1.05,Very Good,I,VS2,4612,6.47,6.42,4.07
0.9,Very Good,F,SI2,4441,6.14,6.18,3.76
2.01,Premium,G,SI2,16733,8.31,8.26,4.89
0.83,Very Good,J,VS2,2444,6.08,6.11,3.69
1.13,Very Good,E,SI1,4922,6.62,6.65,4.16
0.71,Ideal,I,VS1,2327,5.72,5.68,3.54
1.51,Premium,E,SI2,7610,7.16,7.09,4.42
1.22,Ideal,F,VS2,8733,6.8,6.78,4.25
0.71,Premium,E,SI1,2629,5.75,5.69,3.48
1.04,Very Good,F,SI1,5290,6.54,6.6,3.95
0.32,Ideal,F,VVS1,827,4.42,4.45,2.71
1.17,Premium,G,VS1,7564,6.81,6.75,4.23
1.11,Premium,E,VS1,9299,6.75,6.72,4.03
1.5,Very Good,H,SI2,7365,7.24,7.28,4.51
1.51,Very Good,E,SI1,12224,7.43,7.47,4.49
0.32,Ideal,F,VVS1,867,4.42,4.46,2.74
1,Ideal,G,VVS2,7744,6.45,6.47,3.93
0.33,Ideal,G,VVS2,761,4.48,4.52,2.72
1.22,Ideal,F,VS1,9581,6.84,6.89,4.22
1.54,Premium,D,SI1,13316,7.35,7.31,4.62
0.71,Good,F,SI1,2308,5.65,5.62,3.59
1.51,Good,I,SI1,6266,7.27,7.21,4.62
1.01,Premium,E,SI2,3801,6.59,6.53,3.9
0.61,Very Good,D,VS1,2429,5.42,5.45,3.39
0.44,Ideal,E,VVS2,1274,4.88,4.93,3.03
1.01,Premium,G,VS1,6335,6.36,6.31,3.97
0.9,Good,F,SI1,3780,6.08,6.13,3.84
0.5,Ideal,F,VVS2,2016,5.08,5.05,3.14
1.01,Ideal,E,SI2,4751,6.52,6.48,3.97
0.31,Ideal,E,VVS2,816,4.33,4.36,2.68
1.01,Good,F,VS2,6089,6.32,6.38,3.97
0.35,Fair,E,VVS2,738,4.41,4.35,2.9
0.59,Ideal,D,SI1,1912,5.46,5.43,3.32
0.73,Fair,F,VS1,3002,5.92,5.88,3.46
1.15,Ideal,G,VVS1,9377,6.83,6.8,4.13
0.34,Ideal,D,SI1,803,4.48,4.44,2.78
0.77,Ideal,F,SI1,3321,5.88,5.92,3.63
0.3,Ideal,I,VS2,438,4.32,4.35,2.69
0.9,Very Good,G,SI2,3350,6.09,6.13,3.88
1.03,Premium,E,SI2,4974,6.49,6.42,4
1.02,Good,F,SI2,4238,6.46,6.37,4.09
1.26,Very Good,F,IF,14095,7.04,7.09,4.24
0.3,Ideal,G,SI1,477,4.27,4.29,2.65
0.71,Very Good,F,SI1,2088,5.78,5.81,3.52
0.9,Premium,E,SI1,3609,6.19,6.14,3.85
1.5,Premium,E,SI2,8190,7.52,7.47,4.35
1.07,Ideal,G,VS1,7198,6.59,6.55,4.06
0.3,Good,E,SI1,675,4.24,4.22,2.69
1.01,Very Good,H,SI1,5026,6.4,6.43,3.97
1.12,Ideal,H,SI1,5863,6.66,6.61,4.17
0.37,Ideal,H,VS2,603,4.64,4.67,2.87
0.81,Very Good,H,VS1,3314,5.91,5.94,3.69
0.57,Very Good,G,SI1,1433,5.32,5.35,3.26
0.41,Very Good,E,SI1,705,4.71,4.75,2.97
1.01,Very Good,D,SI1,5832,6.36,6.42,4.01
1.01,Very Good,H,SI1,4432,6.36,6.41,3.95
2.12,Premium,G,I1,7508,8.39,8.28,4.99
0.9,Ideal,F,SI1,4657,6.25,6.2,3.84
2,Premium,G,SI2,11544,8.14,8.06,4.97
0.9,Very Good,J,VS1,3188,6.11,6.21,3.85
1.02,Very Good,G,SI1,4964,6.35,6.38,4
0.43,Ideal,E,SI2,716,4.83,4.86,3
1.54,Premium,F,SI1,11897,7.56,7.46,4.57
1.01,Good,G,SI2,4060,6.31,6.38,4.04
1.02,Good,G,VVS2,7800,6.38,6.45,4.05
0.34,Ideal,H,SI1,508,4.52,4.55,2.77
1.01,Premium,E,SI2,4434,6.59,6.56,3.92
0.31,Very Good,G,VVS2,707,4.27,4.31,2.7
1.08,Premium,D,SI1,5758,6.62,6.57,4.13
1.12,Good,J,SI1,3880,6.5,6.54,4.15
1.02,Ideal,E,SI2,4645,6.43,6.4,3.98
1.01,Very Good,F,SI1,4549,6.36,6.4,4.02
0.32,Premium,G,VS2,672,4.53,4.51,2.64
0.58,Very Good,E,SI1,1641,5.36,5.32,3.37
0.3,Ideal,I,SI1,506,4.27,4.25,2.65
1.22,Premium,D,SI1,5739,6.84,6.8,4.25
0.38,Premium,F,VS2,1026,4.66,4.61,2.87
1.01,Very Good,G,SI2,4435,6.56,6.52,3.88
0.23,Very Good,F,VVS1,530,3.93,3.95,2.42
2.01,Premium,I,VS2,16778,8.17,8.15,4.94
0.72,Ideal,E,VS2,3601,5.78,5.8,3.55
2.24,Premium,I,SI2,15515,8.36,8.29,5.15
1.72,Good,G,SI2,10084,7.55,7.62,4.76
0.29,Very Good,F,VVS2,664,4.29,4.35,2.6
1.32,Premium,F,SI2,6541,7.05,7.1,4.29
